composition_1,composition_2,composition_3,density,electronegativity,atomic_radius,band_gap,energy_above_hull,melting_point
0.5,0.5,0.0,3.8687884886405763,1.5750000000000002,1.47,0.0,0.0,-0.44695741333333305
0.5,0.5,0.0,3.420287434298525,1.5750000000000002,1.47,0.0,0.0,-0.43388963166666605
0.5,0.5,0.0,3.45575983688709,1.5750000000000002,1.47,0.0,0.023057415,-0.41083221666666603
0.5,0.5,0.0,3.5903801623495193,1.5750000000000002,1.47,0.0,0.0030881258333330004,-0.46964996222222105
0.5,0.5,0.0,7.96166097118063,1.6866666666666668,1.4766666666666666,0.0,0.0,-0.473768206666666
0.5,0.5,0.0,7.836439402401192,1.7833333333333334,1.5433333333333332,0.0,0.030355374999992003,-0.744713764166672
0.5,0.5,0.0,11.5069058015213,1.8966666666666667,1.5599999999999998,0.0,0.042965133124997,-0.46214395770833505
0.5,0.5,0.0,4.15474648395369,1.5933333333333335,1.55,0.0,0.023320597916669003,-0.34388396791666703
0.5,0.5,0.0,4.617377650566477,1.6000000000000003,1.4533333333333331,0.0,0.0,-0.38783133833333305
0.5,0.5,0.0,4.195592781188226,1.7700000000000002,1.6133333333333333,0.0,0.0,-0.40432835458333205
0.5,0.5,0.0,5.191310914234235,1.55,1.6466666666666665,0.0,0.0,-0.40487872299999905
0.5,0.5,0.0,9.214404849766419,1.8966666666666667,1.5599999999999998,0.0,0.0,-0.558657072222222
0.5,0.5,0.0,9.812179895662483,1.8099999999999998,1.57,0.0,0.0,-0.9877609472222221
0.5,0.5,0.0,13.273741382638251,1.7833333333333334,1.58,0.0,0.000500310000003,-0.907798535833331
0.5,0.5,0.0,11.812168566643388,1.8966666666666667,1.5599999999999998,0.0,0.028322346666666002,-0.47678674416666605
0.5,0.5,0.0,6.380161358595181,1.6600000000000001,1.5,0.0,0.0,-0.45416650083333204
0.5,0.5,0.0,6.275869888405448,1.6833333333333333,1.4633333333333332,0.0,0.0,-0.335837534166666
0.5,0.5,0.0,6.564753891622506,1.6766666666666667,1.4866666666666666,0.0,0.0,-0.6043146191666661
0.5,0.5,0.0,6.392915785187361,1.6866666666666668,1.4766666666666666,0.0,0.0,-0.623069183333332
0.5,0.5,0.0,7.963283861274216,1.7833333333333334,1.5433333333333332,0.0,0.0,-0.7750691391666641
0.5,0.5,0.0,5.434978790962956,1.62,1.4449999999999998,0.0,0.0,-0.169027858749999
0.5,0.5,0.0,5.326066777883863,1.62,1.4449999999999998,0.0,0.042511872499998,-0.12651598624999602
0.5,0.5,0.0,4.613582749090788,1.62,1.4449999999999998,0.0,0.0,-0.28638329500000004
0.5,0.5,0.0,5.158118530756612,1.62,1.4449999999999998,0.0,0.025035380833333003,-0.18311095666666602
0.5,0.5,0.0,6.696733285445902,1.6900000000000002,1.4833333333333334,0.0,0.047482470000000006,-0.38128014999999904
0.5,0.5,0.0,4.943996906524432,1.93,1.1866666666666668,0.0,0.0,-0.5740756675
0.5,0.5,0.0,6.22961872517182,1.75,1.38,0.0,0.0,-0.23588536937499902
0.5,0.5,0.0,6.136004946438615,1.6833333333333333,1.4166666666666667,0.0,0.0,-0.20036260250000001
0.5,0.5,0.0,6.586037864263111,1.7633333333333334,1.4066666666666665,0.0,0.009849447499995001,-0.20629014624999903
0.5,0.5,0.0,6.508718176413158,1.7333333333333334,1.4466666666666665,0.0,0.007078069999995,-0.12775440500000101
0.5,0.5,0.0,5.603132837461857,1.5966666666666667,1.5,0.0,0.0,-0.317624613965518
0.5,0.5,0.0,6.672940104255336,1.7166666666666668,1.46,0.0,0.046284947395832006,-0.39258929145833504
0.5,0.5,0.0,9.187196584638269,1.58,1.5633333333333332,0.0,0.016425026250001,-0.142235083749991
0.5,0.5,0.0,6.948257301087539,1.7066666666666668,1.47,0.0,0.0,-0.44793970249999904
0.5,0.5,0.0,6.956591127539882,1.6900000000000002,1.4833333333333334,0.0,0.0,-0.42876261999999904
0.5,0.5,0.0,14.072812583990622,1.8133333333333335,1.58,0.0,0.0,-0.60377356
0.5,0.5,0.0,8.750246140038335,1.8133333333333335,1.5566666666666666,0.0,0.0,-0.730717902500003
0.5,0.5,0.0,3.263644536577369,2.4066666666666667,1.1033333333333333,3.1768,0.022429603571429,-3.479429516428573
0.5,0.5,0.0,4.391055008578444,1.8325,1.33,0.0,0.010726406249993001,-0.596308088333332
0.5,0.5,0.0,5.618411438898571,1.8475,1.385,0.0,0.038975689375000004,-0.470681731250001
0.5,0.5,0.0,3.80386617646166,1.635,1.42,0.0,0.0,-0.15663263999999802
0.5,0.5,0.0,6.939620028014657,1.7,1.4666666666666668,0.0,0.024139161249999003,-0.15702917999999902
0.5,0.5,0.0,3.250864685120042,1.6133333333333333,1.32,0.0,0.021463719166666003,-0.098219859999999
